GeoFIPS,total_gdp
0,48567
1000,37186
2000,72281
4000,39529
5000,38336
6000,52835
8000,50812
9000,64565
10000,62294
11000,167618
12000,38011
13000,42029
15000,49432
16000,34337
17000,51697
18000,44095
19000,47601
20000,44952
21000,38358
22000,47634
23000,38149
24000,54751
25000,62313
26000,40495
27000,52292
28000,31985
29000,42541
30000,38494
31000,51386
32000,44473
33000,48109
34000,56799
35000,39825
36000,62212
37000,44063
38000,64871
39000,44790
40000,41348
41000,52758
42000,46972
44000,46903
45000,36033
46000,47886
47000,41441
48000,51367
49000,44196
50000,43461
51000,52057
53000,53814
54000,35152
55000,45363
56000,63765
91000,57451
92000,57695
93000,45762
94000,47930
95000,41084
96000,47751
97000,46330
98000,52701
